CA_Standard;Own_names;Note
recType;Record_type;
sampType;Sampling_type;
landCtry;Landing_country;
vslFlgCtry;Vessel_flag_country;
year;Year;
proj;Project;
trpCode;Trip_number;
staNum;Station_number;
quarter;Quarter;
month;Month;
spp;Species;
sex;Sex;
catchCat;Catch_category;
landCat;Landing_category;
commCatScl;Comm_size_cat_scale;
commCat;Comm_size_cat;
stock;Stock;
area;Area;
rect;Statistical_rectangle;
subRect;Subpolygon;
lenCls;Length_class;
age;Age;
fishId;Specimen_No;
lenCode;Length_code;
ageMeth;Aging_method;
plusGrp;Age_plus_group;
otoWt;Otolith_weight;
otoSide;Otolith_side;
indWt;Weight;
matMeth;Maturity_staging;
matScale;Maturity_scale;
matStage;Maturity_stage;
foCatEu6;FoCatEu6;added 20180522
