Fishing_activity_category_level6;short_code;Description;lev4
DRB_MOL_0_0_0;DRB_MOL;Boat dredge for molluscs;DRB_MOL
FPN_LPF_0_0_0;FPN_LPF;Trap fishery targeting large pelagics;FPN_LPF
FPO_DEF_0_0_0;FPO_DEF;Pot and Traps for demersal species;FPO_DEF
FPO_DES_0_0_0;FPO_DEF;Pot and Traps for demersal species;FPO_DEF
FYK_CAT_0_0_0;FYK_CAT;Fyke nets for eels;FYK_CAT
FYK_DEF_0_0_0;FYK_DEF;Fyke nets for demersal species;FYK_DEF
GND_DEF_0_0_0;GND_DEF;Driftnets for demersal fish;GND_DEF
GND_SPF_0_0_0;GND_SPF;Driftnets for small pelagic fish;GND_SPF
GNS_DEF_>=16_0_0;GNS_DEF;Set gillnets for demersal fish according meshsize regulation;NETS
GNS_DEF_360-400_0_0;GNS_DEF;Set gillnets for demersal fish (for Black Sea region);GNS_DEF
GNS_SLP_>=16_0_0;GNS_SLP;Set gillnets for small and large pelagics according meshsize regulation;GNS_SLP
GTR_DEF_>=16_0_0;GTR_DEF;Set trammel nets for demersal fish according meshsize regulation;NETS
GTR_DES_>=16_0_0;GTR_DES;Set trammel nets for demersal species according meshsize regulation;NETS
LA_SLP_14_0_0;LA_SLP;Lampara nets according to meshsize regulation;LA_SLP
LHM_LPF_0_0_0;LHM_LPF;bottom hand line targeting large pelagics;LHM_LPF
LHP_LPF_0_0_0;LHP_LPF;Hand and pole line targeting large pelagics;LHP_LPF
LHP_LHM_CEP_0_0_0;LHP_LHM_CEP;Hand and Pole lines for cephalopods;LHP_LHM_CEP
LHP_LHM_FIF_0_0_0;LHP_LHM_FIF;Hand and Pole lines for finfish;LHP_LHM_FIF
LLD_LPF_0_0_0;LLD_LPF;Drifting longlines  targeting large pelagics;LLD_LPF
LLS_DEF_0_0_0;LLS_DEF;Set longlines for demersal fish;LLS_DEF
LTL_LPF_0_0_0;LTL_LPF;Trolling lines for large pelagic;LTL_LPF
MIS;MIS;Miscellaenous metiers (defined at national level);MIS
MISC_LPF_0_0_0;MISC_LPF;Miscellaenous metiers (defined at national level);MISC_LPF
OTB_DEF_>=40_0_0;OTB_DEF;Bottom otter trawl for demersal fish;OTB
OTB_DES_>=40_0_0;OTB_DES;Bottom otter trawl for demersal species;OTB
OTB_DWS_>=40_0_0;OTB_DWS;Bottom otter trawl for deep water species;OTB
OTB_MDD_>=40_0_0;OTB_MDD;Bottom otter trawl for mixed demersal and deep water species;OTB
OTM_LPF_>=70_0_0;OTM_LPF;Midwater trawl targeting large pelagics;OTM_LPF
OTM_MPD_>=13_19_0_0;OTM_MPD;Pelagic trawl according meshsize regulation (for Black Sea region);OTM_MPD
OTM_MPD_>=20_0_0;OTM_MPD;Midwater otter trawl for mixed demersal and pelagic species;OTM_MPD
PS_LPF_0_0_0;PS_LPF;Purse seine for large pelagic;PS_LPF
PS_LPF_14_0_0;PS_LPF;Purse seine for large pelagic;PS_LPF
PS_SPF_>=14_0_0;PS_SPF;Purse seine for small pelagics according meshsize regulation;PS_SPF
PTM_LPF_>=55_0_0;PTM_LPF;Pelagic pair trawl targeting large pelagics (mesh size >=55);PTM_LPF
PTM_LPF_>=70_0_0;PTM_LPF;Pelagic pair trawl targeting large pelagics (mesh size >=70);PTM_LPF
PTM_LPF_0_0_0;PTM_LPF;Pelagic pair trawl targeting large pelagics;PTM_LPF
PTM_LPF_100-119_0_0;PTM_LPF;Pelagic pair trawl targeting large pelagics (mesh size 100-119);PTM_LPF
PTM_SPF_>=20_0_0;PTM_SPF;Pelagic pair trawl for small pelagic species;PTM_SPF
SB-SV_DEF_0_0_0;SB-SV_DEF;Beach and boat seines for demersal fishes;SB-SV_DEF
SB_SV_DES_0_0_0;SB_SV_DES;Beach and boat seines for demersal species;SB_SV_DES
TBB_DEF_0_0_0;TBB_DEF;Beam trawl for demersal trawling;TBB_DEF
MISC;MIS;Miscellaenous metiers (defined at national level);MIS
LHP-LHM_FIF_0_0_0;LHP_LHM_FIF;Hand and Pole lines for finfish;LHP_LHM_FIF
OTB;OTB;;OTB
